school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,latitude,longitude
BEDOK GREEN PRIMARY SCHOOL,http://www.bedokgreenpri.moe.edu.sg,1    BEDOK SOUTH AVE 2,469317,64425416,na,64491491,na,bgps@moe.edu.sg,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",MR YONG YIK YEN BENJAMIN,MDM SHARIFAH FAIRUZ BTE S Y A,MR YEO SHO HOR,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3240565,103.9378306
BENDEMEER PRIMARY SCHOOL,http://www.bendemeerpri.moe.edu.sg/,91   BENDEMEER ROAD,339948,62982911,na,62995735,na,BENDEMEER_PS@MOE.EDU.SG,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",MDM LIM KIM GEK,MRS SANTHI RAVINDRAN,,,,,,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3223157,103.8650741
BLANGAH RISE PRIMARY SCHOOL,http://www.blangahrisepri.moe.edu.sg/,91   TELOK BLANGAH HEIGHTS,109100,62717387,na,62763037,na,BRPS@MOE.EDU.SG,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,MR FRANCIS FOO,MDM ONG AI SIAN,MRS LEONG-HO HIL MAY,,,,,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.27640575,103.80881
BOON LAY GARDEN PRIMARY SCHOOL,www.boonlaygardenpri.moe.edu.sg,20   BOON LAY DRIVE,649930,63160998,na,63160209,na,BLGPS@MOE.EDU.SG,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",MDM CHRISTINE LIM MIN HUI,MDM HOONG WHEE SIEN,,,,,,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3428882,103.7129331
BUKIT PANJANG PRIMARY SCHOOL,http://www.bukitpanjangpri.moe.edu.sg,109  CASHEW ROAD,679676,67691912,na,67637462,na,BPPS@MOE.EDU.SG,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",MR BUCKTHA SEELAN,MDM KAY HWEE GEAK,,,,,,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.37341685,103.7694292
BUKIT TIMAH PRIMARY SCHOOL,http://www.bukittimahpri.moe.edu.sg,111  Lorong Kismis,598112,64662863,na,64692179,na,bukittimahps@moe.edu.sg,"Beauty World, Bukit Batok and Clementi Stations",173,MDM LEN LENG LENG TERESA KELLY,MR WONG SUNG LAI,MDM KITHA D/O ARUMUGAM,,,,,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.33751905,103.7668494
BUKIT VIEW PRIMARY SCHOOL,http://www.bukitviewpri.moe.edu.sg,18   BUKIT BATOK STREET 21,659634,65661980,na,65635015,na,bukitview_ps@moe.edu.sg,Bukit Batok MRT Station,"173,157,178,852,66,106,61,506,963,77",MDM KOH YUEN CHOO,MDM TEO ENG HUI,,,,,,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.34570095,103.7535185
CANBERRA PRIMARY SCHOOL,http://www.canberrapri.moe.edu.sg,21   ADMIRALTY DRIVE,757714,67597433,na,67587312,na,CANBERRA_PS@MOE.EDU.SG,Sembawang MRT Station,Bus No. 859,MR WONG POO MUN,MS HO STEPHANIE LOUISE,MR SHAH JAHAN B MOHAMED IQBAL,,,,,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.45085035,103.8155937
CANOSSA CATHOLIC PRIMARY SCHOOL,https://canossacatholicpri.moe.edu.sg/,1    Sallim Road,387621,68441418,na,68441417,na,ccps@moe.edu.sg,Nearest MRT station: Mattar Station (about 7-minute walk),"Aljunied Road (same side as CCPS): 62, 64, 100    Aljunied Road (opposite CCPS): 61, 62, 64, 66, 100, 135, 154, 155    Merpati Rd (after Jln Anggerek): 40, 61, 63, 65, 66, 135,",MDM SIA LU-MING EUGENIE,MR LEE KOK MENG CLEMENT,,,,,,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3266014,103.8810504
CANTONMENT PRIMARY SCHOOL,http://www.cantonmentpri.moe.edu.sg,1    Cantonment Close,88256,65119555,na,65119556,na,cantonment_ps@moe.edu.sg,Tanjong Pagar Outram Park,"75, 167, 196",MRS MANOKARA SUGUNAVATHI,MRS AUDREA CHIN,MISS CHENG SHIN MIIN,,,,,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.2758142,103.8398884
CASUARINA PRIMARY SCHOOL,http://www.casuarinapri.moe.edu.sg/,30   PASIR RIS ST 41,518935,65837132,na,65836227,na,CASUARINA_PS@MOE.EDU.SG,Pasir Ris MRT Station,"Nos. 12, 21 & 358",MDM ONG KWEE LAN,MR WONG JUNFU STEVEN,MR TAYEB B RAJIB,,,,,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3728079,103.9572279
CEDAR PRIMARY SCHOOL,Http://www.cedarpri.moe.edu.sg,15   CEDAR AVENUE,349700,62885633,na,62830113,na,CEDAR_PS@MOE.EDU.SG,Potong Pasir MRT Station,"8, 61, 64, 65, 66, 66A, 90, 90A, 100, 135, 151, 154, 155",MR CHRIS CHUA,MS CHOONG PEI CHIN,MDM NUR RASHIDAH BTE ABDUL RASHID,,,,,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.33553125,103.8754848
CHANGKAT PRIMARY SCHOOL,http://www.changkatpri.moe.edu.sg/,11   SIMEI ST 3,529896,67830923,na,67844740,na,CHANGKAT_PS@MOE.EDU.SG,Simei MRT Station,"9,38,5",MDM CHENG HUEY TENG,MDM SITI NAZRAH BTE ABDUL RAHMAN,,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.33982335,103.9522753
CHIJ (KATONG) PRIMARY,http://chijkcp.moe.edu.sg/,17   MARTIA ROAD,424821,63443072,na,63459007,na,CHIJKTPS@moe.edu.sg,EUNOS PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",MDM CHUA SOOK LIAN JUDINA,MDM TAN POH KUAN JOYCELYN,,,,,,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.30643785,103.910832
CHIJ (KELLOCK),http://www.chijkellock.moe.edu.sg/,1    Bukit Teresa Road,99757,62730096,na,62731710,na,CHIJKS@MOE.EDU.SG,Outram Park Station,"61, 124, 143, 166",MRS SHANTHI SURAJ NAIR,MS NG CHIOU HIEN HELEN,MRS CHAN-TIONG LE CHIN,,,,,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.274664,103.8280551
CHIJ OUR LADY OF GOOD COUNSEL,http://www.chijourladyofgoodcounsel.moe.edu.sg,2C   Burghley Drive,558979,62886930,na,62814132,na,chijolgcs@moe.edu.sg,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",MISS TAN LEE YIN GRACE,MRS WONG-LIM ENG LING ANGELINA,MISS LIAT MEI KUEN GERALDINE SHARON,,,,,SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3577786,103.8639303
CHIJ OUR LADY OF THE NATIVITY,http://www.chijourladyofthenativity.moe.edu.sg/,1257 UPPER SERANGOON ROAD,534793,63852455,na,63852012,na,chijoln@moe.edu.sg,Hougang MRT,"74, 102, 112, 113, 119, 136, 147, 324, 672",MDM CHRISTINA TEO,MDM YEO DAI YUN,MDM LIM HUI MEOW ANNIE,,,,,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.37311065,103.8976899
CHIJ OUR LADY QUEEN OF PEACE,http://www.chijourladyqueenofpeace.moe.edu.sg/,4    Chestnut Drive,679287,67691529,na,67653551,na,CHIJOLQP@MOE.EDU.SG,Cashew and Hillview,"180, 67, 171, 176, 177, 178, 184, 961, 963, 970",MS ALBUQUERQUE KAREN ANNE,MISS CECILIA TAN LI HUA,MDM LOH AH LAH CATHERINE MICHELLE,,,,,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.36644755,103.7681471
CHIJ PRIMARY (TOA PAYOH),http://www.chijpritoapayoh.moe.edu.sg,628  Lorong 1 Toa Payoh,319765,63532164,na,63536362,na,CHIJTPPS@MOE.EDU.SG,Toa Payoh,"59, 231, 141",DR TAN SOON KEE MARGARET,MDM MISCHA LEIGH PEREIRA,MRS CHARMAINE LEE,,,,,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3331269,103.842403
CHONGFU SCHOOL,http://www.chongfu.moe.edu.sg/,170  YISHUN AVENUE 6,768959,67585527,na,62579571,na,CFS@MOE.EDU.SG,Yishun MRT station,Feeder Service 811,MDM FOO MUI CHUW,MR SOON WOO SIN,MISS LIM HWEE MIEN ANGELYNNA,,,,,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.4387276,103.8392901
CHONGZHENG PRIMARY SCHOOL,http://www.chongzhengpri.moe.edu.sg,1    TAMPINES STREET 21,529392,67819002,na,67845054,na,czps@moe.edu.sg,Tampines MRT Station,"3,3A, 8, 17, 18, 20, 28, 34, 39, 59, 518",MR LIM WEE JAMES,MDM RANJIT KAUR D/O MUKHTAR SINGH,,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.35054425,103.9509206
CHUA CHU KANG PRIMARY SCHOOL,http://www.chuachukangpri.moe.edu.sg,20   CHOA CHU KANG AVENUE 2,689905,67661574,na,67661583,na,cckps@moe.edu.sg,Choa Chu Kang MRT Station and Southview LRT Station,"Bus Service 300, 301 and NR3 along Chua Chu Kang Ave 2 Bus Service 172, 301, 991 along Chua Chu Kang Ave 1",MDM KUEK YEN YEN SHEREE,MDM CHEW BOON HWEE,,,,,,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.37793775,103.7419841
CLEMENTI PRIMARY SCHOOL,http://www.clementipri.moe.edu.sg,8    CLEMENTI AVE 3,129903,67797449,na,67732898,na,admin_clementi_ps@moe.edu.sg,Clementi MRT Station,We are just beside Clementi Bus Interchange.,MR VIMALENTHIRAN S/O VIJAYASINGAM,MRS TAN SIEW HONG,,,,,,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.31556955,103.7632088
COMPASSVALE PRIMARY SCHOOL,http://www.compassvalepri.moe.edu.sg/,21   COMPASSVALE ST,545091,63882819,na,63882798,na,cvps@moe.edu.sg,Sengkang,"83 (along Compassvale Street) 27, 89, 89E & 965 (along Compassvale Road).",MR JEFFREY AW,MDM YEOW CHERN EE,,,,,,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3945064,103.8980351
CONCORD PRIMARY SCHOOL,http://www.concordpri.moe.edu.sg/,3    CHOA CHU KANG AVE 4,689814,67632139,na,67632452,na,CONCORD_PS@MOE.EDU.SG,Choa Chu Kang MRT Station,Bus 300 and 983,MR TAN SIEW TIONG,MS LIM KAR WAE FIONA,MDM GOH PUAY HOON JENNY,,,,,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.38021795,103.7363327
CORPORATION PRIMARY SCHOOL,http://www.corporationpri.moe.edu.sg,31   JURONG WEST STREET 24,648347,67957381,na,67957098,na,cps@moe.edu.sg,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",MRS JENNIFER PANG CHEE CHYN,MDM POON GEK HONG,MRS CHRISTINA TAN-LIM LAY LENG,,,,,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.35142845,103.7076954
DAMAI PRIMARY SCHOOL,http://www.damaipri.moe.edu.sg,52   BEDOK RESERVOIR CRESCENT,479226,64456483,na,64499681,na,DAMAI_PS@MOE.EDU.SG,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",MRS LEONG- TAN LING LING JENNY,MDM LIM PECK CHIN YENLYN,,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3354514,103.9213901
DAZHONG PRIMARY SCHOOL,http://www.dazhongpri.moe.edu.sg,35   BUKIT BATOK STREET 31,659441,65658002,na,65636421,na,dazhong_ps@moe.edu.sg,Bukit Gombak,"187, 188",MDM YAP SIU LIN,MR PHANG TECK HOW,MRS BOEY- LIM SEOW KHIM,,,,,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3591826,103.7479679
DE LA SALLE SCHOOL,http://www.delasalle.moe.edu.sg,11   Choa Chu Kang St 52,689285,67667675,na,67622075,na,dlss@moe.edu.sg,YEW TEE MRT,"TIBS 302, 979",MDM CHERYL CHOO SHUEH-LI,MR CHING KIN HIN,,,,,,CHOA CHU KANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3950086,103.7432593
EAST SPRING PRIMARY SCHOOL,http://www.eastspringpri.moe.edu.sg,31   TAMPINES ST 33,529258,67866192,na,67866649,na,esps@moe.edu.sg,Tampines,"291, 28,18",MR WONG KIN MUN,MRS LEE-GOH SIEW LING MARIA,,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3528815,103.9619173
EDGEFIELD PRIMARY SCHOOL,http://www.edgefieldpri.moe.edu.sg,41   EDGEFIELD PLAINS,828869,63126091,na,63126093,na,edgefield_ps@moe.edu.sg,Punggol MRT,"3, 34, 62, 82, 83, 136",MR MICHEL SAW MUN SEONG,MR LOW KAH HENG THOMAS,MDM FAZILAH MARICAR D/O MD ALI M,,,,,PUNGGOL,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.40035045,103.9075274
ELIAS PARK PRIMARY SCHOOL,http://www.eliasparkpri.moe.edu.sg,11   PASIR RIS STREET 52,518866,65844393,na,65844392,na,epps@moe.edu.sg,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",MDM CHUA PEI PEI,MRS ESTHER SEE-LING SZENGEN,MR MOHAMAD NOOR BIN ABDUL MANAF @,,,,,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.37491195,103.9451758
ENDEAVOUR PRIMARY SCHOOL,https://endeavourpri.moe.edu.sg/,10   Admiralty Link,757521,64824650,64824835,64824670,na,endeavour_ps@moe.edu.sg,Sembawang MRT Station,"859, 962",MR KOH KIAN SENG THOMAS,MR RAZALI B SENIN,MDM CHUA HUI PIN,,,,,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na,1.45442995,103.8175792
EUNOS PRIMARY SCHOOL,http://www.eunospri.moe.edu.sg/,95   JALAN EUNOS,419529,67463336,na,67488554,na,eunos_ps@moe.edu.sg,Nearest MRT Station - Eunos,"Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966",MDM PHUA YIN LIN GRACE,MDM TAN KIM YAN,,,,,,GEYLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.32481685,103.9043661
EVERGREEN PRIMARY SCHOOL,http://www.evergreenpri.moe.edu.sg/,31   WOODLANDS CIRCLE,738908,63687705,na,63688084,na,EVERGREEN_PS@MOE.EDU.SG,Admiralty,"913(front), 911 & 858(back)",MDM RABIATHUL BAZRIYA D/O ABU BAKAR,MDM YEO SIAU YEN,MRS PETRINA KOH,,,,,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.44383025,103.7947361
FAIRFIELD METHODIST SCHOOL (PRIMARY),http://www.fmsp.moe.edu.sg/,100  DOVER ROAD,139648,67788431,na,67762948,na,fmsp@moe.edu.sg,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",MDM LAW LI MEI,MDM QUEK TSUI LAN PRISCA,,,,,,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.30081995,103.785649
FARRER PARK PRIMARY SCHOOL,http://www.farrerparkpri.moe.edu.sg,2    FARRER PARK ROAD,217567,62952272,na,62942272,na,fpps@moe.edu.sg,Farrer Park MRT Station,131,MISS CHEONG HWEE KHIM,MR RAMESH MUKUNDHAN,,,,,,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3125247,103.8510382
FENGSHAN PRIMARY SCHOOL,http://www.fengshanpri.moe.edu.sg,307  BEDOK NORTH ROAD,469680,65860123,na,65860122,na,fsps@moe.edu.sg,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",MR POH CHEE YANG,MDM LAI KAI CHING,MR LEE MIN SEN,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3300987,103.9318825
FERN GREEN PRIMARY SCHOOL,www.ferngreenpri.moe.edu.sg,70   Fernvale Link,797538,68343100,na,68343116,na,ferngreen_ps@moe.edu.sg,Kupang LRT Station (SW3),"85, 102",MRS TANG- CHIM LEE MAI,MR SEE KOK KIONG,MDM KYLICIA SOO GEOK LING,,,,,SENG KANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.3976461,103.8800214
FERNVALE PRIMARY SCHOOL,www.fernvalepri.moe.edu.sg,1    Fernvale Lane,797701,63153051,na,63153067,na,fernvale_ps@moe.edu.sg,Fernvale LRT (Sengkang West Loop),"Along Sengkang West Ave - Bus Services 50, 163; Along Yio Chu Kang Road - Bus Services 70, 86, 103 and 854.",MDM BALAKRISHNA VYJANTHIMALA,MISS YAP AI LI,MR YAP LIH MIN SAMUEL,,,,,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,1.38997975,103.8740776
